population,population_density,vulnerable_population,sos_count,medical_emergency_count,injured_people,food_supply_days_remaining,water_supply_days_remaining,medicine_supply_days_remaining,shelter_demand,distance_to_nearest_hospital_km,distance_to_nearest_warehouse_km,accessibility_score,accessibility_risk,rainfall_mm,flood_risk,landslide_risk,weather_severity,road_blockage,connectivity,disaster_severity,request_age_hours,priority_score,priority_level
16295,189.72963396405635,2398,34,0,1,6,4,2,4547,114.73443732084758,165.88764513007985,47,53,178.24827683997287,7,4,3,5,3,9,41.69400737988985,19.12103092445017,LOW
1360,54.81992310209579,149,11,4,7,3,10,7,138,53.14010180706348,172.2502079727633,91,9,20.797372564520124,1,2,0,0,1,5,24.75233544486412,12.661606531838338,LOW
38658,413.8682127479003,2850,129,25,32,8,11,10,570,112.94411433644528,42.71691081089331,64,36,120.14528942844547,2,2,1,6,0,2,32.54546887844826,19.585400745766297,LOW
45232,2817.3492056677646,5822,135,28,69,12,8,14,722,27.037126458737426,61.48300949553171,61,39,210.849568711079,5,4,5,3,0,3,49.199380295476544,19.167251401110324,LOW
11784,142.56381220233635,873,41,17,19,10,12,14,1634,23.896108273237182,64.26905393987964,66,34,186.25276862365482,4,6,2,1,1,3,50.597523695567325,5.903741321372431,LOW
6765,164.36174374078027,637,0,0,0,14,14,12,0,55.115920370243046,61.47275241690552,46,54,399.8678572492135,5,5,10,6,5,0,2.4702836629058007,1.4566628187360582,LOW
17350,196.25018395714295,5150,48,7,20,10,12,12,182,122.11684351138827,172.52755079981472,88,12,155.50586084676402,3,1,3,0,1,2,55.50514110803237,9.072275318409682,LOW
37694,430.95905607199217,6069,9,0,1,12,7,12,1678,40.72049585013377,16.0581110896325,55,45,154.79962370172356,3,4,3,6,10,2,35.78660241935964,11.710516273866087,LOW
22462,275.3947740552466,4109,0,0,0,14,14,12,0,14.17174429030854,24.45899790634712,80,20,201.4327109657841,3,1,4,2,1,0,40.30396229270532,0.0,LOW
47691,595.7436282021263,12800,156,59,65,7,6,7,7742,24.097882604921487,62.04382541968171,72,28,76.12124410849192,5,3,2,1,7,8,21.806584241074457,23.974132861410393,LOW
44631,1314.8220198093666,13339,685,329,432,1,4,4,2620,129.51802043678913,47.97586518339429,6,94,350.52176918366314,9,9,8,10,4,10,30.589615699041538,100.0,CRITICAL
16523,1302.3226745722548,3233,0,0,0,14,11,13,0,96.89857628835671,54.05332663774119,91,9,228.9071155457794,1,2,5,0,7,0,51.29182207952222,1.3043550185531738,LOW
41590,960.8827390280732,10527,378,35,61,6,7,4,13319,41.714168688646616,161.609205958127,63,37,76.84305567976897,3,4,2,4,7,8,56.035036910514485,42.08343006702891,MEDIUM
2185,101.69966946247611,287,0,0,0,12,12,13,0,85.5178946725863,116.99405283948892,75,25,317.37663654885296,3,4,8,1,1,0,28.178091953510428,0.0,LOW
1269,17.86811721473104,160,0,0,0,11,14,12,6,81.49904525167581,11.096425645663919,91,9,13.7328684571413,1,2,0,0,6,1,49.914903584570105,1.0246456419118075,LOW
2933,77.42979742451108,441,4,0,1,13,14,13,97,100.03821687389588,91.5713254837971,60,40,393.0256802341709,5,3,9,4,8,1,18.95011037072332,3.017861348469819,LOW
5811,59.48836378161562,1267,27,1,2,13,8,9,885,38.81219539113437,87.49813610156819,18,82,346.05973390854854,7,7,6,10,7,5,59.989620560192336,9.791699333425528,LOW
38319,581.5394585616561,8451,187,28,100,9,5,7,8200,130.33843314318767,31.64960119446327,61,39,231.85578221360794,5,4,6,3,8,6,44.10171808187662,25.133163637589913,LOW
39688,477.3884405490522,5112,290,34,48,8,4,5,9414,49.85844150160186,138.46693983427684,48,52,44.51826510282659,8,4,1,4,7,10,55.92583589878299,40.36637267830809,MEDIUM
18068,1027.1836459696856,1505,0,0,0,14,14,14,0,105.64908982655434,143.3984657921033,84,16,86.10910931586857,3,1,1,1,3,0,34.61657194072609,1.6179706161930443,LOW
20269,233.26825947542696,4217,63,3,15,11,10,9,1345,7.338073723971159,146.96971161989856,94,6,111.77406812542526,0,2,5,0,9,2,16.881313876209802,2.8474222784437893,LOW
29193,315.0484673019058,2396,4,1,2,12,13,14,542,59.03528383465135,148.40947965613248,76,24,96.41269516144439,2,2,4,3,6,1,31.190024601925543,5.712025177821539,LOW
6896,134.50129376145068,1342,92,6,16,4,5,7,528,55.9979236040272,10.010037117136392,46,54,199.00800418137828,6,4,4,6,8,7,27.776205705199935,16.940921770083325,LOW
27980,447.0074927019652,6249,352,36,118,6,9,3,4573,83.8052421445371,191.2449527308772,16,84,377.8241481068591,6,10,8,9,8,8,24.289232855971377,47.7199035999989,MEDIUM
41934,539.9904350286153,9441,16,9,12,14,14,14,1600,15.546757957693492,164.69966574038597,84,16,177.6690339071242,2,2,4,1,3,1,15.670422963515701,0.0,LOW
26158,1210.4766290559328,6235,6,0,1,10,13,12,622,119.56904919028571,181.7565223519642,65,35,264.62582726936216,4,5,5,2,6,1,54.78045064440614,0.0,LOW
19442,368.6122042923929,5214,119,15,61,1,4,4,2623,36.57821625629744,12.972226108412485,18,82,275.43328239152925,7,7,7,10,5,9,6.6741437844200755,31.29432332397397,LOW
